,Job_Name,Link,Job_Location,Internship,Teamwork,Client Communication,Time Management,Intrapersonal
10,Data Scientist,https://www.indeed.ca/rc/clk?jk=8d46ab04d0692fe1&fccid=163ccc336a959b8b&vjs=3,Toronto,1,1,,,
11,Junior Data Scientist,https://www.indeed.ca/rc/clk?jk=eb035b7aaaf2ec3e&fccid=14fcbdb0bd2b535f&vjs=3,Toronto,,1,,,
12,Data Scientist,https://www.indeed.ca/company/Next-Pathway/jobs/Data-Scientist-b3d310e6b8d9d64c?fccid=4001b860a9263e7f&vjs=3,Toronto,,1,,1,1
13,Data Analyst,https://www.indeed.ca/rc/clk?jk=12b398cd15bdc29a&fccid=986361104086c3ae&vjs=3,Toronto,,1,1,,1
14,Data Scientist,https://www.indeed.ca/rc/clk?jk=0e65fb477b66886c&fccid=617690ce838507f3&vjs=3,Toronto,1,,,,
15,Data Scientist,https://www.indeed.ca/rc/clk?jk=15c2b94a03f418db&fccid=5c98f9ffc20e640f&vjs=3,Toronto,,1,,,
16,Data Scientist,https://www.indeed.ca/rc/clk?jk=2412851c4ddafc91&fccid=935bdcc8ea6ea513&vjs=3,Toronto,1,1,1,,
17,"Data Scientist, People Analytics",https://www.indeed.ca/rc/clk?jk=0c21ed9ee7e67a44&fccid=1bf77f1dd2c2631f&vjs=3,Toronto,,1,,,1
18,Data Scientist,https://www.indeed.ca/rc/clk?jk=3ba340b1c807a009&fccid=088981af222032de&vjs=3,Toronto,1,1,,,
19,Data Scientist,https://www.indeed.ca/rc/clk?jk=1b6df91ff192cc6c&fccid=734c0fa2088c6315&vjs=3,Toronto,,1,,1,
20,DATA SCIENTIST,https://www.indeed.ca/rc/clk?jk=83a1229f25d53238&fccid=3a71a4d2f7990a25&vjs=3,Toronto,,1,,,
21,Data Science Intern,https://www.indeed.ca/rc/clk?jk=4e6759ba93645210&fccid=a30b61a4a3f3bd14&vjs=3,Toronto,1,1,1,,
22,Data Scientist,https://www.indeed.ca/rc/clk?jk=6c7c04b422ffeb72&fccid=734c0fa2088c6315&vjs=3,Toronto,,1,1,1,
23,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=bf24bace3b1526c6&fccid=1005cea9bf029d17&vjs=3,Toronto,,1,,,1
24,Data Scientist,https://www.indeed.ca/company/MSi-Corp/jobs/Data-Scientist-3206f1f8714b7236?fccid=183e06e7def5a52c&vjs=3,Toronto,1,1,,,
25,Data Science-Consultant,https://www.indeed.ca/rc/clk?jk=46cf21ac2f9b61c4&fccid=8d25321c1defe73f&vjs=3,Toronto,,,,,
26,Applied Research Scientist - Time Series,https://www.indeed.ca/rc/clk?jk=3e88ce4ce8944a5a&fccid=98c522aa9024c59e&vjs=3,Toronto,,1,,,
27,Data Scientist,https://www.indeed.ca/rc/clk?jk=fa95daf5ee04790e&fccid=003656df63cede32&vjs=3,Toronto,,1,1,,1
28,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKnE5S0U0xepD4qpelS5mkewrld4Bf4QBS4ISrzXCIgubgPWgo5bo9EI5s2mARKsFTD6K2M5bwd9uvdwbPL2p6i0e4LPARl_r-B3MvWMYlPj9o2PMiGXZD5sufH45-AvkduHEvmnwNp8eL_Pr9-txMYouCT1SEWErhu6bNPFBYXCNpoDaoCDL-J7I5si6tLHPFW4yvp4p83jWQn8wboheve2mqvzQSIqAGZx50G8QeXlHNbff-j-RPFGlrdlkgCTut-8Qnnk0XgdkwqTq4VAoBo=&p=0&fvj=1&vjs=3,Toronto,,1,,1,1
29,DATA SCIENTIST,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CW81yLmMX0jZhkp9wi2Zzr1m-t1jAbw6FN9Wv5HozWh14F5jwCNHCXR2SMRH94RkiJl-9VEPLSMrqxQEyU1Gv-26IiIy0HkWM2RmvKZ7rRwiqbiCQS5ANixGX-hpQ2ko1TmyHM0qFWhLCooxFdx63Ka6GlZMZKNfpT2b9FpFkttBg0jP0mAM3p4LOTk4W2LZ1bu4S_HB4qqWmugSC91YHdycjU5s2Qhu0FT37N9umwSKHYCXvhdEtag0yeAbQ5hQ9fZr92ftrC7XCZH94vmkVHiz0mofu0N4-J9VtwTlWrRhqCXDOFmUdxClXobKZekhUtvJ4iWNjnXY61NOBkKGJCZBzMOc3Aodg9YAPpxGCiuu2gj73CPY7XdVTN-wQ-kN60X3PchP6HVxoy8VjFMVJ5PKTvYm-zxOzJArfXs4-c1Q==&p=1&fvj=0&vjs=3,Toronto,,1,,,
30,"Postdoctoral Research Fellow in Computer Vision, Deep Learning and SLAM",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Bop1AwOGSXkIS5LvCcIOLCU6dprbvn4zr_8xHydz3OCg5jCW24zXACXeySrV8WFL73U5XD2kmIxg4Q4YmHcdQrsnpjEaM5hFxJItfg5V6lRLqSb0C_xpPZYw-DOL-y8VMoOzIo5C51_Q3bn0tZJ3eW5fcfMB3rgIcC6Dt8n_Wz8dz1Cip-ikoOfurjSyZH2AzQ1pyrAr__IQohx8Zi-uhVriZfcMUWSEMxeF74hHpZiDSQAJCUb3H8XuHI7RhnC61qYmgc4x5ECLFsr2XXE_KB8ho0zW5a3nxp9AE-6LYjiGF5Drxh9GBz4922btjXBrp1GJQ5njPgmrGsvPkKgf9VciK_Jszkv7Oo_Cw-RUeFZ8km5oWI6cljlbuoTIh8MMhBLOWhexYa8I5NUPYsIjwrDl75wwlv9IiOQiLgkUu8X12Uf9voY5SeOCpophpYK0M2XOBSKBHJEUqchnyAOehIEnAQN53H-z-UTzhKnhaxilSNXgsWESsfcSOY3QRN9leegbQvSxeKJQ==&p=2&fvj=1&vjs=3,Toronto,,1,,,
31,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBTYOhe_BDBSzPwvakpQhgY3hdw_P4xGWaaoRZEHlsboYm65ggYjEqsa_hGfvaMPVrUlN6qRLBVp3Q4_bvnKr6lvmxMB-CyLm7EXAqkgAKDXORqScIlKu_g590SItWgpT1GXedGA6Q7v3Aec_I0vkwnNvXrWmg8_VYKHWTjcMXgxLNg1a-ZgqNYf0YyiUwh5I8108WoT1w7EK1-uUHtaIueqbmsMGwmTIqWfhGrLPGWgY7Gr_P7vb1K-Vz810SG2QnGIhDbNSk5RLz0l-MvT-g58igfcaeyQHkw==&p=3&fvj=1&vjs=3,Toronto,,,,,
32,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEUN_EHN504I7D_B2nUZVCu0mmEVync4GzOjR__Wiux0jRblrMjMcomscb5GgBlBV44OZ2qeUhSntIbgxDu1xo6UU3QOUGWgyaWXSTX89e-l1mSe7KQuS2amWUv5IPBbqdW7dJLPdJ8ZYeiDSYSgxy5SkF1na0pRt2GaOrIFsl4iyE3CyhSCfO8_6ceslaDLI5NRNzU59ioLMN_tltWnWGD_HrN79sJ37s_lb-vOZW-waaICp7FdSZVQwoIakembIUw7Am9BuHpliAO7-h5Mo2iWPVlbmXs93WRhCQA2OVjaAuP0a5l2jNKgocxnVrZpQi6u9vX6pPtbZJXJoTJe4Z8eXDM3ghJ9e_u9teV3jrAuaI_A7vE6mamPbVXIFBG5BiHZn8PkP4oe3jUbRwZlq7aPJTk2tq9a3IQ==&p=4&fvj=0&vjs=3,Toronto,,,,,
33,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuht9hnUP7HcqHGLvz8aK1DHyqSZwNZjlYHrI7Y2VJAi7kp1CDGa9IOwq4eNXIxCOWbhPSZBcfmFUFrrivaNTknGwNmrI-wB1MoGftkeWlYJcrJe6d3A13OL83Rtex5i-XhB7ov1b9wg68oqSizqYHhYU2WX1Knj2xALj3MJQSevm0o5xB4QU6rMsVDmQaqgSstmCWckwZeubGq9-N-xSmqRAEl_BLwq6dpOCSj9Pbm-_QU2q_ZNLaMVJGmnSjCKKtjicGMsbr_PoZ4Q7TMYDIVbiRL3qw0h1MnyFH84-uwu78YYvCOS4G-eY0SLbKqDo6SCp4k2YiFcItvDhyQYH0FHe_neNrqyYkoX0ZCr96kOqp6rDYLUOrbAhQkbiQgx3HRDgjTSpgTNFIjxUYnPNlSVOyBq52KzatZmG8pJRv_EQaI=&p=5&fvj=0&vjs=3,Toronto,1,1,1,1,
34,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJiaMngP8gGUPg7lZ2ki8l5mmUXEs5M3B1EKEoAzOZvjFjPcPXzurry30gYGIas-2xOeL-V00nTDO6tkHHVnnRDd7Vh1d7rqBHFPO0ulD7ineFLRpJDM-YzLj7zAWBQyBAmDCsnmsYzEQOmO1VpYzqOZ3_nNtyIIS-pxN0n8JnrQzrtFoF72gqF5gsCXwKOd5aXpIXwP8yqaGMgoodENRL0MX67Tc_JNzd1A4z3dJ-FBubnUraT4iENymBw5D4EEBsCIxwEUPLYV7aQ5E7uB-8ct_-3FLwOSpcSkmA3v31wiLsjkrEuCAyclOpeUU1J6tq4BiuOvSDNjEViMvsRBhooB91-b4s2nEjXQ5EUVY8s1BmnQRhJoWvQrU2MCex3NZ6OnSPPC_ZUlMYw-PzHOQYxN&p=6&fvj=0&vjs=3,Toronto,1,1,1,,1
35,"Director, Data Science Initiatives",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIANRFn7GZl0LUUkB4eDLyVGpcpyTEoXkxag_rLlMz-FEifsHVp8vD5NWcMGwXi68ypovIvdUB9dy1hcWhIOlf7kk14dGMtdIieK1XyuNxsmLdiaZ_8GE6D6uZ4bt8vACyloKE9zBimNrKzNFWv3VCZekMcUEXmgcAf78rad9j47b7q6gWeA8jYfYTvNF0JUbaSJHVNt3ravjVgB1QZ6qpazQf9oGE-xPmIDbOKYAu4ZLSXG6-9_MfFJHGGvYYHIQ_Wn1Y2VYXoHutM7JFfQ54CIoGQlkeiHuy8VvpeqMl0qECtqQ79Fe2f1VHoJm2fZadnJFPix4ABd5v8FH28Wz47ySM5p28rB-QUk_2UivrXyij-4OK_vZPw3A9tNG_UrUuEAww15d4uORxVI-BHpsA-qXQumRCSWM15Q_03pNDZ5qYIXznMSJ1gZoYIklY01SBKWGJPUaBWgKshG7SO-sHB5Fcm5CdjVKpncUn0xOI5jGCjCEBDyvYv1efYKQilIGLA=&p=7&fvj=0&vjs=3,Toronto,1,1,1,1,
36,Data Scientist,https://www.indeed.ca/rc/clk?jk=6fa8d6f34254db39&fccid=50f7dae6edfd9634&vjs=3,Toronto,,,,,
37,data scientist,https://www.indeed.ca/rc/clk?jk=a915e64d433b1c7a&fccid=6d24f6668a842ec6&vjs=3,Toronto,,1,1,,
38,Data Scientist,https://www.indeed.ca/rc/clk?jk=94c4fe7af9489141&fccid=5434780ac3971e0d&vjs=3,Toronto,,1,,,1
39,Research Data Scientist,https://www.indeed.ca/rc/clk?jk=101dbcb68375164f&fccid=510aa29fcf8f87d9&vjs=3,Toronto,,,1,,
40,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=f435c69f268abbeb&fccid=3002307a9e5b4706&vjs=3,Toronto,,1,1,,
41,Biomedical Data Scientist,https://www.indeed.ca/rc/clk?jk=43227d90e91cd55a&fccid=5d784228b1eee537&vjs=3,Toronto,,,,,
42,"Data Scientist, Senior Consultant",https://www.indeed.ca/rc/clk?jk=50defeee3472806a&fccid=2dd390c3a48a7ed0&vjs=3,Toronto,,1,,,1
43,Data Scientist,https://www.indeed.ca/rc/clk?jk=5415fdde776f67a8&fccid=837c958b2711fe23&vjs=3,Toronto,,1,,,
44,"Manager, Data Science Hub",https://www.indeed.ca/rc/clk?jk=d2a2f4aa67eb3de4&fccid=986361104086c3ae&vjs=3,Toronto,,1,1,,1
45,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/rc/clk?jk=8df00b01b37d1d67&fccid=8d08a26504cbffaa&vjs=3,Toronto,,,,,
46,Data Scientist,https://www.indeed.ca/rc/clk?jk=a50f90d7fcf674a6&fccid=799362a2faa3b40a&vjs=3,Toronto,,1,,,
47,Applied Statistician - Data Science,https://www.indeed.ca/rc/clk?jk=5b769041ea165225&fccid=4e917d9a3b14765d&vjs=3,Toronto,,1,,,1
48,Data Scientist / Engineer,https://www.indeed.ca/rc/clk?jk=03dc820217100386&fccid=9402f6537fbfc5b0&vjs=3,Toronto,,1,,,1
49,Data Scientist,https://www.indeed.ca/rc/clk?jk=9eba9802d5192217&fccid=0020889bfe35c4aa&vjs=3,Toronto,1,,,,1
50,Data Science Co-op,https://www.indeed.ca/rc/clk?jk=7dd3b1596e9063bf&fccid=1005cea9bf029d17&vjs=3,Toronto,,1,,,
51,Network Data Scientist – Wireless Service Analytics & Transformation,https://www.indeed.ca/rc/clk?jk=1d590f74a55dea2e&fccid=4512634d9e7338a8&vjs=3,Toronto,,1,,,
52,Data Scientist,https://www.indeed.ca/rc/clk?jk=22e77eac0c2c8eed&fccid=9cbee42cad63ad9e&vjs=3,Toronto,1,1,1,,
53,Data Scientist/Time Series,https://www.indeed.ca/rc/clk?jk=e97e7d4b249d30c2&fccid=ca1eb7a6353c159a&vjs=3,Toronto,,1,1,1,
54,Intern- Data Science,https://www.indeed.ca/rc/clk?jk=2336620e8a3c8a6e&fccid=3308ce641126a211&vjs=3,Toronto,1,1,,,
55,Machine Learning Engineer,https://www.indeed.ca/company/Adeptmind-Inc./jobs/Machine-Learning-Engineer-65bcf55f13bc7bbd?fccid=31196f4f50c270cb&vjs=3,Toronto,,1,,,
56,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuht9hnUP7HcqHEQkArNFzMNNXLfnomZhxjDFXQgXZy0MlaeI9m444U0_LXMxV6pvDvD4LoIXJA7oIg5Q4PDguIwEESa2v4aDHyT-giInMbFBAMUSMm7VNpT-48Ygu0HEQxoyU_zyKpwvY2d_0OP6L-scX0CJNb5gmBZMKMLuDhkHbArUVeYgbUnM24u6-L6TYvf5tzM1GOhPoFB3VLo7fV0Z3NaSuTxnCzOToSqCSk_jmToa0H7Dlp1lRBb86NgqxBdMhoNRv0SvCzbETGEQw5oSUeo2ySPbon314KHPIbj_mAZJf-8ckACnHTdp73r3_pjWkGk9PIjaOkxcmUz4vTWtkfNZtUlXvMaBp_TAodb6hWdhjC4C1Bgb1WXpO9mS1-bhXGzj7yxp7r1Np9cEaeiQBMvQkEUCGHBQlVxrNSfFWk=&p=0&fvj=0&vjs=3,Toronto,1,1,1,1,
57,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJiaMngP8gGUPrf4vydLPuZ2Mahc7ioPrEX-BzscedGt4oJCAwQFt-fIgTDZy-rVpWKsHwuJYbaHXFxsrZ8uoB0FkzPpGOQlt02DPvdq6ZzAY4Rgg_-byFwbFFXtbMP7rGVX4joIFYNX99EC56YaWCPVBFD0VS3fiIC3u7V-o_FC_08hmREcvMnlhHhCSb34XQHVqmh7W_zUFp-rUwS-RffC3H-1xEuBLV4ksjFF6NWJcyo1ZP0CEUJVDNYlNiyDxaVb8ouC7XxAClZ1n2WTD5J8wOEyz1JjSo_6aq-TP-GWJ0QZ8PtTVGuJ7x1a7nT1TMpLLT0_5VXimTosU1d-hqbU1Wn1J79DAnpKUXxEu-hj8XKyPALXobRCP50pHCFvTc4dH5K1a5goa-pVLDx80eSE&p=1&fvj=0&vjs=3,Toronto,1,1,1,,1
